ArrivalDate,IsCanceled
2015-08-02,155
2015-08-09,310
2015-08-16,431
2015-08-23,188
2015-08-30,255
2015-09-06,232
2015-09-13,324
2015-09-20,461
2015-09-27,391
2015-10-04,338
2015-10-11,392
2015-10-18,417
2015-10-25,151
2015-11-01,188
2015-11-08,70
2015-11-15,78
2015-11-22,42
2015-11-29,105
2015-12-06,169
2015-12-13,262
2015-12-20,19
2015-12-27,76
2016-01-03,203
2016-01-10,24
2016-01-17,64
2016-01-24,149
2016-01-31,145
2016-02-07,98
2016-02-14,125
2016-02-21,387
2016-02-28,284
2016-03-06,181
2016-03-13,139
2016-03-20,316
2016-03-27,350
2016-04-03,240
2016-04-10,348
2016-04-17,375
2016-04-24,396
2016-05-01,360
2016-05-08,305
2016-05-15,317
2016-05-22,383
2016-05-29,292
2016-06-05,383
2016-06-12,449
2016-06-19,556
2016-06-26,261
2016-07-03,310
2016-07-10,274
2016-07-17,217
2016-07-24,224
2016-07-31,206
2016-08-07,263
2016-08-14,311
2016-08-21,301
2016-08-28,279
2016-09-04,296
2016-09-11,335
2016-09-18,365
2016-09-25,312
2016-10-02,483
2016-10-09,379
2016-10-16,608
2016-10-23,385
2016-10-30,425
2016-11-06,488
2016-11-13,389
2016-11-20,239
2016-11-27,191
2016-12-04,296
2016-12-11,228
2016-12-18,154
2016-12-25,157
2017-01-01,348
2017-01-08,230
2017-01-15,251
2017-01-22,211
2017-01-29,288
2017-02-05,215
2017-02-12,223
2017-02-19,222
2017-02-26,301
2017-03-05,285
2017-03-12,231
2017-03-19,343
2017-03-26,291
2017-04-02,214
2017-04-09,510
2017-04-16,411
2017-04-23,413
2017-04-30,541
2017-05-07,546
2017-05-14,368
2017-05-21,681
2017-05-28,430
2017-06-04,442
2017-06-11,479
2017-06-18,378
2017-06-25,358
2017-07-02,406
2017-07-09,334
2017-07-16,313
2017-07-23,243
2017-07-30,329
2017-08-06,251
2017-08-13,275
2017-08-20,332
2017-08-27,206
