ArrivalDate,IsCanceled
2015-08-02,77
2015-08-09,278
2015-08-16,391
2015-08-23,272
2015-08-30,234
2015-09-06,441
2015-09-13,430
2015-09-20,532
2015-09-27,507
2015-10-04,438
2015-10-11,501
2015-10-18,498
2015-10-25,459
2015-11-01,323
2015-11-08,201
2015-11-15,139
2015-11-22,291
2015-11-29,265
2015-12-06,283
2015-12-13,155
2015-12-20,129
2015-12-27,198
2016-01-03,354
2016-01-10,165
2016-01-17,170
2016-01-24,235
2016-01-31,234
2016-02-07,309
2016-02-14,361
2016-02-21,374
2016-02-28,364
2016-03-06,406
2016-03-13,438
2016-03-20,459
2016-03-27,408
2016-04-03,408
2016-04-10,498
2016-04-17,483
2016-04-24,478
2016-05-01,451
2016-05-08,479
2016-05-15,505
2016-05-22,587
2016-05-29,497
2016-06-05,457
2016-06-12,548
2016-06-19,513
2016-06-26,564
2016-07-03,441
2016-07-10,454
2016-07-17,456
2016-07-24,520
2016-07-31,474
2016-08-07,478
2016-08-14,477
2016-08-21,537
2016-08-28,450
2016-09-04,455
2016-09-11,467
2016-09-18,588
2016-09-25,571
2016-10-02,531
2016-10-09,507
2016-10-16,605
2016-10-23,451
2016-10-30,524
2016-11-06,424
2016-11-13,451
2016-11-20,393
2016-11-27,433
2016-12-04,334
2016-12-11,348
2016-12-18,230
2016-12-25,246
2017-01-01,439
2017-01-08,310
2017-01-15,279
2017-01-22,336
2017-01-29,271
2017-02-05,322
2017-02-12,327
2017-02-19,423
2017-02-26,512
2017-03-05,430
2017-03-12,458
2017-03-19,516
2017-03-26,486
2017-04-02,464
2017-04-09,489
2017-04-16,464
2017-04-23,437
2017-04-30,490
2017-05-07,522
2017-05-14,546
2017-05-21,510
2017-05-28,562
2017-06-04,496
2017-06-11,515
2017-06-18,474
2017-06-25,504
2017-07-02,495
2017-07-09,548
2017-07-16,558
2017-07-23,467
2017-07-30,463
2017-08-06,452
2017-08-13,442
2017-08-20,465
2017-08-27,472
