Fecha;Ingresos
20210603;10129
20210303;9020
20201231;8611
20200926;8652
20200627;7150
20200328;8601
20191231;9068
20190927;9507
20190628;9997
20190329;8694
20181231;7806
20180928;8775
20180629;9421
20180330;7626
20171231;8314
20170930;9078
20170601;9702
20170301;9118
20161231;9409
20160901;10633
20160602;11539
20160302;10282
20151231;10000
20150902;11427
20150603;12156
20150303;10711
20141231;10872
20140926;11976
20140627;12574
20140328;10576
20131231;11040
20130927;12030
20130628;12749
20130329;11035
20121231;11455
20120928;12340
20120629;13085
20120330;11137
20111231;11040
20110930;12248
20110601;12737
20110301;10517
20101231;10494
20100901;8426
20100602;8674
20100302;7525
20091231;7510
20090902;8044
20090603;8267
20090303;7169
20081231;7126
20080926;8393
20080627;9046
20080328;7379
20071231;7331
20070928;7690
20070629;7733
20070330;6103
20061231;5932
20060929;6454
20060630;6476
20060331;5226
20051231;5551
20050930;6037
20050601;6310
20050331;5266
20041231;5204
20040930;5596
20040630;5914
20040331;5078
20031231;5176
20030930;5671
20030630;5695
20030331;4502
20021231;4795
20020930;5322
20020630;5368
20020331;4079
20011231;4238
20010923;4695
20010630;4653
20010331;3959
20001231;4733
20000930;5543
20000630;5621
20000331;4391
19991231;4803
19990930;5139
19990630;5335
19990331;4400
19981231;4458
19980930;4747
19980630;5151
19980331;4457
19971231;4701
19970930;4954
19970630;5075
19970331;4138
19961231;4476
19960930;4687
19960630;5286
19960331;4224
19951231;4333
19950930;4895
19950630;4936
19950331;3854
19941231;4017
19940930;4461
19940630;4342
19940331;3352
19931231;3373
19930930;3629
19930630;3899
19930331;3056
19921231;3243
19920930;3508
19920630;3550
19920331;2772
19911231;2879
19910930;3172
19910630;3039
19910331;2480
