ListingKey,ListingNumber,ListingCreationDate,CreditGrade,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,GroupKey,DateCreditPulled,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,LoanKey,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,LoanOriginationDate,LoanOriginationQuarter,MemberKey,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors,LoanMonthsSinceOriginationY,LoanFirstDefaultedCycleNumberQ,bad_aux,PW,fraud,bad,indeterm,LoanOriginationYear
0F5034867864161084F3789,463083,2010-06-16 16:23:44.533000000,,36,Completed,2013-07-03 00:00:00,0.11296,0.092,0.082,0.0608,0.021,0.0608,6.0,A,9.0,1,CO,Executive,Full-time,10.0,True,False,,2010-06-04 10:18:55,700.0,719.0,2000-04-11 00:00:00,16.0,16.0,49.0,11,294.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,7246.0,0.09,30794.0,40.0,1.0,2.0,0.26,"$75,000-99,999",True,6666.666667,7E583591759296638A02214,,,,,,,,,0,,45,43110,4000,2010-06-24,Q2 2010,B39A347662239828607EAC0,0.0,4594.48,4000.0,594.48,-64.62,0.0,0.0,0.0,0.0,1.0,0,0,0.0,121,4.0,,False,True,False,False,False,2010
0F2535122339224397B0FB9,499401,2011-03-25 17:20:01.857000000,,12,Completed,2012-03-26 00:00:00,0.35843,0.2669,0.2569,0.2452,0.13,0.1152,2.0,E,3.0,1,CA,Professional,Employed,70.0,False,False,,2011-06-08 11:59:05,600.0,619.0,2000-09-05 00:00:00,14.0,13.0,54.0,14,359.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,17778.0,0.94,955.0,25.0,0.92,0.0,0.28,"$50,000-74,999",True,4777.0,338F36217851092295848B8,1.0,12.0,12.0,0.0,0.0,6000.0,4509.4,-25.0,0,,33,50675,3000,2011-06-27,Q2 2011,A5423484116489237A78F52,287.6,3394.57,3000.0,394.57,-14.79,0.0,0.0,0.0,0.0,1.0,0,0,0.0,32,3.0,,False,True,False,False,False,2011
0DEB351032566848818E832,496566,2011-03-04 14:21:40.320000000,,36,Chargedoff,2013-09-15 00:00:00,0.35643,0.3199,0.3099,0.2957,0.147,0.1487,2.0,E,5.0,7,FL,Fireman,Employed,213.0,True,False,,2011-03-04 14:21:29,680.0,699.0,1990-02-01 00:00:00,4.0,5.0,53.0,3,52.0,1.0,3.0,6.0,5256.0,5.0,1.0,0.0,892.0,0.19,2006.0,50.0,0.7,1.0,0.21,"$50,000-74,999",True,5314.25,1A213613553764272F57CA8,,,,,,,,,298,30.0,36,47762,2500,2011-03-16,Q1 2011,897435091439358025BC0F7,108.87,2721.75,1468.11,1253.64,-39.2,0.0,1031.89,1031.89,0.0,1.0,0,0,0.0,50,3.0,32.0,True,True,False,False,True,2011
0DFD35069860903300C7973,494156,2011-02-17 05:52:07.960000000,,36,Completed,2012-02-03 00:00:00,0.13109,0.1099,0.0999,0.0983,0.0495,0.0488,5.0,B,8.0,6,VA,Analyst,Full-time,21.0,True,False,,2011-02-17 05:52:03,760.0,779.0,2000-10-03 00:00:00,15.0,15.0,36.0,6,210.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,7168.0,0.48,7682.0,28.0,1.0,0.0,0.18,"$75,000-99,999",True,6466.666667,73133611746418789CAEC30,1.0,6.0,6.0,0.0,0.0,7500.0,6406.25,-12.0,0,,37,47313,5600,2011-02-24,Q1 2011,A462348861855137328A095,183.31,6106.15,5600.0,506.15,-46.07,0.0,0.0,0.0,0.0,1.0,0,0,0.0,114,3.0,,False,True,False,False,False,2011
1066354838733351352FBF8,596575,2012-06-05 14:27:23.647000000,,36,Chargedoff,2012-12-08 00:00:00,0.33553,0.2958,0.2858,0.2727,0.147,0.1257,2.0,E,6.0,7,GA,Accountant/CPA,Employed,117.0,False,False,,2012-06-05 14:27:19,660.0,679.0,2001-04-28 00:00:00,11.0,9.0,23.0,8,138.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,2138.0,0.05,33982.0,20.0,0.6,1.0,0.35,"$25,000-49,999",True,3250.0,D4953652835792212EE1E56,,,,,,,,,579,6.0,21,67600,4000,2012-06-08,Q2 2012,8DD835486728621644D77EC,168.89,168.89,71.64,97.25,-3.29,0.0,3928.36,3928.36,0.0,1.0,0,0,0.0,11,2.0,8.0,True,True,False,True,False,2012
0FC235484386436481EDCB7,594992,2012-06-01 03:39:02.660000000,,36,Current,,0.21372,0.1768,0.1668,0.1639,0.0565,0.1074,5.0,B,8.0,6,MD,Construction,Employed,76.0,False,False,,2012-06-01 03:38:58,660.0,679.0,2000-07-31 00:00:00,4.0,4.0,11.0,2,50.0,2.0,2.0,0.0,0.0,11.0,0.0,0.0,262.0,0.32,538.0,6.0,0.66,0.0,0.08,"$75,000-99,999",True,7083.333333,039F36536503013285DD282,,,,,,,,,0,,21,67641,3500,2012-06-12,Q2 2012,414C35482941135335A5076,125.97,2519.4,1713.99,805.41,-45.55,0.0,0.0,0.0,0.0,1.0,0,0,0.0,34,2.0,,False,True,False,False,False,2012
0F843543787869030F017F8,579737,2012-04-17 11:58:52.270000000,,36,Chargedoff,2013-03-22 00:00:00,0.26681,0.2287,0.2187,0.2134,0.099,0.1144,3.0,D,2.0,3,CO,Truck Driver,Self-employed,29.0,True,False,,2012-04-17 11:58:46,680.0,699.0,1993-10-26 00:00:00,9.0,7.0,21.0,1,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28228.0,0.98,502.0,18.0,0.77,0.0,,"$50,000-74,999",False,5000.0,3AB03648859759387133670,1.0,29.0,28.0,1.0,0.0,15000.0,3813.03,-94.0,384,12.0,23,63925,15000,2012-04-19,Q2 2012,F11E34621201188152DD3DA,579.63,3968.89,1119.05,2849.84,-49.41,-813.65,13880.95,13880.95,1600.0,1.0,0,0,0.0,21,2.0,12.0,True,True,False,True,False,2012
10C23461228816873E20817,422813,2009-09-02 03:17:56.993000000,,36,Completed,2011-07-27 00:00:00,0.14476,0.1234,0.1134,0.046,0.065,0.046,4.0,C,9.0,1,IL,Police Officer/Correction Officer,Full-time,279.0,True,False,,2010-01-05 13:09:15,660.0,679.0,1997-06-11 00:00:00,9.0,9.0,19.0,5,359.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10796.0,0.94,596.0,15.0,0.93,0.0,0.18,"$50,000-74,999",True,5833.333333,EE3B3577746409358AE5CB1,1.0,22.0,22.0,0.0,0.0,3000.0,1280.27,1.0,0,,50,40424,2000,2010-01-20,Q1 2010,34103412616026962E95FCC,66.75,2275.69,2000.0,275.69,-22.33,0.0,0.0,0.0,0.0,1.0,0,0,0.0,164,4.0,,False,True,False,False,False,2010
112A35420359988673C6984,571141,2012-03-22 19:11:18.370000000,,36,Past Due (1-15 days),,0.33973,0.2999,0.2899,0.2766,0.149,0.1276,2.0,E,3.0,2,KY,Other,Other,111.0,False,False,,2012-03-22 19:11:15,600.0,619.0,1983-04-01 00:00:00,7.0,6.0,35.0,2,50.0,0.0,2.0,0.0,0.0,20.0,1.0,0.0,1424.0,0.94,76.0,27.0,0.72,2.0,0.41,"$1-24,999",True,1835.416667,CD4136462469565703D9DAA,1.0,10.0,10.0,0.0,0.0,2000.0,1621.63,-41.0,11,,24,62579,2500,2012-03-27,Q1 2012,06163510491201184074FDD,106.12,2244.64,1117.31,1127.33,-37.6,0.0,0.0,0.0,0.0,1.0,0,0,0.0,25,2.0,,False,True,False,False,False,2012
10443478111401431D069C2,448615,2010-03-01 18:58:43.087000000,,36,Completed,2011-01-21 00:00:00,0.23808,0.2155,0.2055,0.1207,0.08,0.1207,4.0,C,8.0,2,OR,Analyst,Full-time,27.0,False,False,,2010-03-01 18:39:04,700.0,719.0,2007-09-12 00:00:00,4.0,3.0,8.0,3,70.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,640.0,0.42,860.0,4.0,1.0,0.0,0.05,"$25,000-49,999",True,3493.75,5C233581792037058CD0003,,,,,,,,,0,,48,41171,3000,2010-03-12,Q1 2010,C3593472686180288C30C32,113.87,3285.07,2999.99,285.08,-13.13,0.0,0.0,0.0,0.0,1.0,0,0,0.0,146,4.0,,False,True,False,False,False,2010
